claimer name;claim;Hoax Class;Article Title;Date;Object;Subject;Tema Artikel
Claim by Beberapa sumber:;Penampakan jin saat pelantikan presiden-wapres Jokowi-Ma’ruf;Keliru;Ini adalah film CGI tentang goblin di tempat parkir, bukan video penampakan jin di gedung DPR/MPR;Oct 25, 2019;Jin;Ma'ruf Amin;Periksa Fakta
Claim by Beredar di Facebook:;Politikus PDIP Rieke Diah Pitaloka menyarankan agar Jokowi mundur sebagai presiden;Keliru;[Fakta atau Hoaks] Benarkah Rieke Diah Pitaloka Sarankan Jokowi Mundur sebagai Presiden?;Jan 20, 2020;Rieke Diah Pitaloka;Joko Widodo;Presiden Indonesia
Claim by Beredar di WhatsApp:;Pesan berantai soal pemberlakuan karantina di 10 daerah yang diklaim berasal dari Presiden Jokowi;Keliru;[Fakta atau Hoaks] Benarkah Pesan Pemberlakuan Karantina di 10 Daerah Ini Berasal dari Presiden Jokowi?;Mar 18, 2020;Joko Widodo;Karantina;Cek Fakta - TEMPO.co
Claim by Akun Facebook Alfi Laili Cholidah:;Refly Harun menyebut bahwa kemenangan Presiden Jokowi dalam Pilpres 2019 adalah hasil kejahatan antek Cina;Keliru;[Fakta atau Hoaks] Benarkah Refly Harun Sebut Kemenangan Jokowi Hasil Kejahatan Antek Cina?;May 12, 2020;Refly Harun;Joko Widodo;Antek
Claim by Akun Facebook Syamsul Bachri:;Presiden Jokowi ditolak rakyatnya sendiri di Malaysia;Keliru;[Fakta atau Hoaks] Benarkah WNI di Malaysia Menolak Kedatangan Presiden Jokowi?;Jul 8, 2019;Joko Widodo;Presiden Indonesia;Malaysia
Claim by Beredar di grup Facebook:;Jokowi, JK, dan elite PDIP merayakan penderitaan rakyat dengan berjoget Maumere;Keliru;[Fakta atau Hoaks] Benarkah Jokowi, JK, dan Elite PDIP Merayakan Penderitaan Rakyat dengan Berjoget Maumere?;Oct 10, 2019;Jusuf Kalla;Joko Widodo;Partai Demokrasi Indonesia Perjuangan
Claim by Beberapa sumber:;Judul berita menyatakan Jokowi ‘kesal seperti anak kecil’;Keliru;Gambar berita Jokowi ‘kesal seperti anak kecil’ karena terbatasnya investasi Arab Saudi ini adalah hasil suntingan;Jul 17, 2019;Joko Widodo;Periksa Fakta;
Claim by Beredar di media sosial:;Joko Widodo batal menggaji pengangguran lewat Kartu Prakerja;Keliru;[Fakta atau Hoaks] Benarkah Jokowi Batal Memberikan Tunjangan untuk Pengangguran?;Jul 19, 2019;Joko Widodo;Pengangguran;Kartu Prakerja
Claim by Sejumlah akun di media sosial:;Ketua Partai Solidaritas Indonesia (PSI) Grace Natalie akan mengajak makan babi apabila Jokowi dan PSI memenangkan Pemilu 2019;Keliru;[Fakta atau Hoaks] Benarkah Grace Natalie Ajak Warga Makan Babi Kalau Menang Pemilu 2019?;Apr 17, 2019;Grace Natalie;Partai Solidaritas Indonesia;Basecamp AKSI (Aliansi Keluarga Solidaritas Indonesia)
Claim by Beberapa sumber:;"Presiden Indonesia Joko ""Jokowi"" Widodo meneteskan air mata saat meninjau kebakaran hutan di Riau";Keliru;Foto Presiden Indonesia Joko Widodo telah disunting dengan menambahkan tetesan air mata di wajahnya;Oct 2, 2019;Joko Widodo;Presiden Indonesia;Air
Claim by Beredar di Facebook:;Ada 10 warga yang dilarikan ke rumah sakit karena seluruh tubuhnya gatal-gatal setelah meminum air bekas cucian kaki Presiden Jokowi;Keliru;[Fakta atau Hoaks] Benarkah Setelah Minum Air Cucian Kaki Jokowi Ada 10 Warga yang Dilarikan ke RS?;Nov 19, 2019;Joko Widodo;Presiden Indonesia;Air
Claim by Akun Facebook:;Foto yang diklaim sebagai foto saat KPU dan Bawaslu berkunjung ke kantor PDIP untuk memenangkan Jokowi dalam Pilpres 2019;Keliru;[Fakta atau Hoaks] Benarkah Komisioner KPU dan Bawaslu Kumpul di PDIP untuk Menangkan Jokowi dalam Pilpres 2019?;Jul 16, 2020;Komisi Pemilihan Umum Republik Indonesia;Badan Pengawas Pemilihan Umum Republik Indonesia;KPU
Claim by Beredar di YouTube dan Facebook:;"Pidato Sultan Brunei Darussalam soal ""pemimpin mabuk kuasa"" yang diklaim ditujukan kepada Presiden Jokowi";Keliru;[Fakta atau Hoaks] Benarkah Sultan Brunei Sindir Presiden Jokowi Pemimpin Mabuk Kuasa?;Dec 30, 2019;Brunei Darussalam;Sultan;Joko Widodo
Claim by Anonim:;Benarkah Tempo Merilis Jumlah Bencana Tertinggi di Masa Jokowi?;Keliru;[Fakta atau Hoax] Benarkah Tempo Merilis Jumlah Bencana Tertinggi di Masa Jokowi?;Dec 26, 2018;Bencana;Joko Widodo;Tempo
Claim by Beredar di media sosial:;Polisi membebaskan remaja Tionghoa yang ancam bunuh Jokowi, namun penjarakan pemuda Muslim yang mengancam penggal Jokowi.;Keliru;[Fakta atau Hoaks] Benarkah Polisi Bebaskan Remaja Tionghoa yang Ancam Tembak Jokowi Karena Etnisnya?;May 14, 2019;Joko Widodo;Polisi;Orang Tionghoa Indonesia
Claim by Akun-akun Facebook dan kanal-kanal YouTube:;Video yang diklaim sebagai video demo mahasiswa yang tuntut Presiden Jokowi mundur dari jabatannya saat pandemi Covid-19;Keliru;[Fakta atau Hoaks] Benarkah Ini Video Demo Mahasiswa yang Tuntut Jokowi Mundur Saat Pandemi Covid-19?;Jun 5, 2020;Joko Widodo;Mahasiswa;COVID-19
Claim by Beberapa sumber:;Penampakan jin saat pelantikan presiden-wapres Jokowi-Ma’ruf;Keliru;Ini adalah film CGI tentang goblin di tempat parkir, bukan video penampakan jin di gedung DPR/MPR;Oct 25, 2019;Jin;Ma'ruf Amin;Periksa Fakta
Claim by Beredar di Facebook:;Politikus PDIP Rieke Diah Pitaloka menyarankan agar Jokowi mundur sebagai presiden;Keliru;[Fakta atau Hoaks] Benarkah Rieke Diah Pitaloka Sarankan Jokowi Mundur sebagai Presiden?;Jan 20, 2020;Rieke Diah Pitaloka;Joko Widodo;Presiden Indonesia
Claim by Beredar di WhatsApp:;Pesan berantai soal pemberlakuan karantina di 10 daerah yang diklaim berasal dari Presiden Jokowi;Keliru;[Fakta atau Hoaks] Benarkah Pesan Pemberlakuan Karantina di 10 Daerah Ini Berasal dari Presiden Jokowi?;Mar 18, 2020;Joko Widodo;Karantina;Cek Fakta - TEMPO.co
Claim by Akun Facebook Alfi Laili Cholidah:;Refly Harun menyebut bahwa kemenangan Presiden Jokowi dalam Pilpres 2019 adalah hasil kejahatan antek Cina;Keliru;[Fakta atau Hoaks] Benarkah Refly Harun Sebut Kemenangan Jokowi Hasil Kejahatan Antek Cina?;May 12, 2020;Refly Harun;Joko Widodo;Antek
Claim by Akun Facebook Syamsul Bachri:;Presiden Jokowi ditolak rakyatnya sendiri di Malaysia;Keliru;[Fakta atau Hoaks] Benarkah WNI di Malaysia Menolak Kedatangan Presiden Jokowi?;Jul 8, 2019;Joko Widodo;Presiden Indonesia;Malaysia
Claim by Beredar di grup Facebook:;Jokowi, JK, dan elite PDIP merayakan penderitaan rakyat dengan berjoget Maumere;Keliru;[Fakta atau Hoaks] Benarkah Jokowi, JK, dan Elite PDIP Merayakan Penderitaan Rakyat dengan Berjoget Maumere?;Oct 10, 2019;Jusuf Kalla;Joko Widodo;Partai Demokrasi Indonesia Perjuangan
Claim by Beberapa sumber:;Judul berita menyatakan Jokowi ‘kesal seperti anak kecil’;Keliru;Gambar berita Jokowi ‘kesal seperti anak kecil’ karena terbatasnya investasi Arab Saudi ini adalah hasil suntingan;Jul 17, 2019;Joko Widodo;Periksa Fakta;
Claim by Sejumlah akun di media sosial:;Ketua Partai Solidaritas Indonesia (PSI) Grace Natalie akan mengajak makan babi apabila Jokowi dan PSI memenangkan Pemilu 2019;Keliru;[Fakta atau Hoaks] Benarkah Grace Natalie Ajak Warga Makan Babi Kalau Menang Pemilu 2019?;Apr 17, 2019;Grace Natalie;Partai Solidaritas Indonesia;Basecamp AKSI (Aliansi Keluarga Solidaritas Indonesia)
Claim by Ma'ruf Amin dalam Debat Capres-Cawapres Kelima:;“Angka ketimpangan menurun di era Presiden Joko Widodo dan Wakil Presiden Jusuf Kalla”;Keliru;[Fakta atau Hoaks] Benarkah angka ketimpangan menurun di era Presiden Joko Widodo dan Wakil Presiden Jusuf Kalla seperti disampaikan Maruf Amin?;Apr 14, 2019;Jusuf Kalla;Joko Widodo;Wakil presiden
Claim by Petroxi Blogspot:;Menteri Koordinator Politik Hukum dan Keamanan memerintahkan tembak mati pendukung Prabowo yang tidak mengakui kemenangan Joko Widodo;Keliru;[Fakta atau Hoaks] Benarkah Menkopolhukam Wiranto Memerintahkan Penangkapan dan Tembak Mati Bagi Pendukung Prabowo yang Tidak Mengakui Kemenangan Jokowi?;Jul 15, 2019;Prabowo Subianto;Joko Widodo;Cek Fakta Tempo - TEMPO.co
Claim by Beredar di WhatsApp dan media sosial.:;Joko Widodo-Ma'ruf Amin tidak bisa memenangi Pilpres 2019 berdasarkan UUD 1945 Pasal 6 ayat (3) karena tidak memenangkan suara di setengah jumlah provinsi atau 17 provinsi, dan di 17 provinsi yang kalah harus mendapatkan minimal 20 persen suara.;Keliru;[Fakta atau Hoaks] Benarkah Syarat Menjadi Presiden Harus Memenangkan Suara di 17 Provinsi?;Apr 26, 2019;Pemilihan presiden;Pemilihan umum Presiden Indonesia 2019;Joko Widodo
Claim by Beredar di WhatsApp dan media sosial:;Ada tulisan kalimat “Terimakasih Pak Jokowi, doakan kami menjadi haji yang mabrur” di badan pesawat Garuda Indonesia;Keliru;[Fakta atau Hoaks] Benarkah Ada Tulisan Terima kasih Pak Jokowi di Badan Pesawat Garuda Indonesia?;Jul 7, 2019;Garuda Indonesia;Garuda;Joko Widodo
Claim by Situs Reportase Indonesia:;Presiden Jokowi akan menjual separuh dari Kaltim untuk pemindahan ibu kota;Keliru;[Fakta atau Hoaks] Benarkah Presiden Jokowi Akan Jual Separuh Kaltim untuk Pemindahan Ibu Kota?;Mar 13, 2020;Joko Widodo;Ibu kota Indonesia;Kalimantan Timur
Claim by Beberapa sumber:;Pidato singkat Jokowi di G20 jadi ‘bahan tertawaan’ di acara TV Jepang;Keliru;Acara TV Jepang itu membicarakan pertemuan singkat Perdana Menteri Shinzo Abe dengan Presiden Jokowi;Jul 16, 2019;Joko Widodo;Jepang;G20
Claim by Foto dan narasi di Facebook.:;Prabowo Subianto membebaskan 200 relawan dari peristiwa 21-22 Mei 2019 setelah berjabat tangan dengan Joko Widodo;Keliru;[Fakta atau Hoaks] Benarkah Foto yang Diklaim Prabowo Berhasil Bebaskan 200 Relawan dari Penjara?;Jul 22, 2019;Prabowo Subianto;Cek Fakta Tempo - TEMPO.co;
Claim by Kanal YouTube 651 SAFA:;Bos Samsung menyebut ekonomi Indonesia macet total di bawah pemerintahan Presiden Jokowi;Keliru;[Fakta atau Hoaks] Benarkah Bos Samsung Sebut Ekonomi Indonesia Macet Total di Era Presiden Jokowi?;Nov 22, 2019;Ekonomi Indonesia;Ekonomi;Joko Widodo
Claim by AKun-akun Facebook:;Putusan MA Nomor 44 Tahun 2019 membatalkan kemenangan Jokowi-Ma'ruf Amin dalam Pilpres 2019;Keliru;[Fakta atau Hoaks] Benarkah Putusan MA Batalkan Kemenangan Jokowi-Ma'ruf Amin di Pilpres 2019?;Jul 9, 2020;Ma'ruf Amin;Joko Widodo;Pemilihan presiden
Claim by Berbagai sumber:;Sultan Brunei Hassanal Bolkiah menyindir Presiden Jokowi;Keliru;Video ini menunjukkan sultan Brunei memberi nasihat kepada menteri kabinet baru di tahun 2018;Jan 19, 2020;Hassanal Bolkiah;Periksa Fakta;
Claim by Akun-akun Facebook:;Lambang Presiden RI diganti dari Garuda Pancasila menjadi bintang seperti logo Partai Komunis Cina di era pemerintahan Jokowi;Keliru;[Fakta atau Hoaks] Benarkah Lambang Presiden Diganti Bintang Seperti Logo Partai Komunis Cina di Era Jokowi?;May 14, 2020;Simbol;Logo;Joko Widodo
;"Surat kabar asing memberitakan Presiden Jokowi sebagai ""tukang ngibul""";Keliru;"Bukan, ini bukan foto surat kabar asing yang memberitakan Presiden Jokowi sebagai ""tukang ngibul""";Apr 3, 2019;Joko Widodo;Presiden Indonesia;Koran
;Acara kampanye Presiden Indonesia Joko Widodo dilakukan di atas sajadah;Keliru;Tidak, foto ini tidak menunjukkan acara kampanye Presiden Indonesia Joko Widodo dilakukan di atas 'sajadah';Apr 9, 2019;Joko Widodo;Presiden Indonesia;Kampanye politik
Claim by Situs Wartarakyat.co:;Presiden Jokowi mengakui gagal memimpin negara;Keliru;[Fakta atau Hoaks] Benarkah Presiden Jokowi Akui Gagal Pimpin Negara?;Jul 3, 2020;Joko Widodo;Cek Fakta Tempo - TEMPO.co;
;Karyawan Krakatau Steel dipecat semua dan diganti dengan orang-orang Cina oleh Joko Widodo;Keliru;[Fakta atau Hoaks] Benarkah Foto yang Diklaim Prabowo Berhasil Bebaskan 200 Relawan dari Penjara?;Jul 22, 2019;Cek Fakta Tempo - TEMPO.co;;
Claim by Ma'ruf Amin dalam Debat Capres-Cawapres Kelima:;“Angka ketimpangan menurun di era Presiden Joko Widodo dan Wakil Presiden Jusuf Kalla”;Keliru;[Fakta atau Hoaks] Benarkah angka ketimpangan menurun di era Presiden Joko Widodo dan Wakil Presiden Jusuf Kalla seperti disampaikan Maruf Amin?;Apr 14, 2019;Jusuf Kalla;Joko Widodo;Wakil presiden
Claim by Petroxi Blogspot:;Menteri Koordinator Politik Hukum dan Keamanan memerintahkan tembak mati pendukung Prabowo yang tidak mengakui kemenangan Joko Widodo;Keliru;[Fakta atau Hoaks] Benarkah Menkopolhukam Wiranto Memerintahkan Penangkapan dan Tembak Mati Bagi Pendukung Prabowo yang Tidak Mengakui Kemenangan Jokowi?;Jul 15, 2019;Prabowo Subianto;Joko Widodo;Cek Fakta Tempo - TEMPO.co
Claim by Beredar di WhatsApp dan media sosial:;Ada tulisan kalimat “Terimakasih Pak Jokowi, doakan kami menjadi haji yang mabrur” di badan pesawat Garuda Indonesia;Keliru;[Fakta atau Hoaks] Benarkah Ada Tulisan Terima kasih Pak Jokowi di Badan Pesawat Garuda Indonesia?;Jul 7, 2019;Garuda Indonesia;Garuda;Joko Widodo
Claim by Beberapa sumber:;Pidato singkat Jokowi di G20 jadi ‘bahan tertawaan’ di acara TV Jepang;Keliru;Acara TV Jepang itu membicarakan pertemuan singkat Perdana Menteri Shinzo Abe dengan Presiden Jokowi;Jul 16, 2019;Joko Widodo;Jepang;G20
Claim by Foto dan narasi di Facebook.:;Prabowo Subianto membebaskan 200 relawan dari peristiwa 21-22 Mei 2019 setelah berjabat tangan dengan Joko Widodo;Keliru;[Fakta atau Hoaks] Benarkah Foto yang Diklaim Prabowo Berhasil Bebaskan 200 Relawan dari Penjara?;Jul 22, 2019;Prabowo Subianto;Cek Fakta Tempo - TEMPO.co;
Claim by Kanal YouTube 651 SAFA:;Bos Samsung menyebut ekonomi Indonesia macet total di bawah pemerintahan Presiden Jokowi;Keliru;[Fakta atau Hoaks] Benarkah Bos Samsung Sebut Ekonomi Indonesia Macet Total di Era Presiden Jokowi?;Nov 22, 2019;Ekonomi Indonesia;Ekonomi;Joko Widodo
Claim by AKun-akun Facebook:;Putusan MA Nomor 44 Tahun 2019 membatalkan kemenangan Jokowi-Ma'ruf Amin dalam Pilpres 2019;Keliru;[Fakta atau Hoaks] Benarkah Putusan MA Batalkan Kemenangan Jokowi-Ma'ruf Amin di Pilpres 2019?;Jul 9, 2020;Ma'ruf Amin;Joko Widodo;Pemilihan presiden
Claim by Berbagai sumber:;Sultan Brunei Hassanal Bolkiah menyindir Presiden Jokowi;Keliru;Video ini menunjukkan sultan Brunei memberi nasihat kepada menteri kabinet baru di tahun 2018;Jan 19, 2020;Hassanal Bolkiah;Periksa Fakta;
Claim by Akun-akun Facebook:;Lambang Presiden RI diganti dari Garuda Pancasila menjadi bintang seperti logo Partai Komunis Cina di era pemerintahan Jokowi;Keliru;[Fakta atau Hoaks] Benarkah Lambang Presiden Diganti Bintang Seperti Logo Partai Komunis Cina di Era Jokowi?;May 14, 2020;Simbol;Logo;Joko Widodo
;"Surat kabar asing memberitakan Presiden Jokowi sebagai ""tukang ngibul""";Keliru;"Bukan, ini bukan foto surat kabar asing yang memberitakan Presiden Jokowi sebagai ""tukang ngibul""";Apr 3, 2019;Joko Widodo;Presiden Indonesia;Koran
;Acara kampanye Presiden Indonesia Joko Widodo dilakukan di atas sajadah;Keliru;Tidak, foto ini tidak menunjukkan acara kampanye Presiden Indonesia Joko Widodo dilakukan di atas 'sajadah';Apr 9, 2019;Joko Widodo;Presiden Indonesia;Kampanye politik
Claim by Situs Wartarakyat.co:;Presiden Jokowi mengakui gagal memimpin negara;Keliru;[Fakta atau Hoaks] Benarkah Presiden Jokowi Akui Gagal Pimpin Negara?;Jul 3, 2020;Joko Widodo;Cek Fakta Tempo - TEMPO.co;
;Karyawan Krakatau Steel dipecat semua dan diganti dengan orang-orang Cina oleh Joko Widodo;Keliru;[Fakta atau Hoaks] Benarkah Foto yang Diklaim Prabowo Berhasil Bebaskan 200 Relawan dari Penjara?;Jul 22, 2019;Cek Fakta Tempo - TEMPO.co;;
Claim by Beredar di Facebook:;Presiden Jokowi mengakui adanya kecurangan dalam Pemilu 2019;Keliru;[Fakta atau Hoaks] Benarkah Presiden Jokowi Akui Adanya Kecurangan dalam Pemilu 2019?;Jan 20, 2020;Joko Widodo;Pemilihan umum Indonesia 2019;Pemilihan
Claim by Situs-situs dan akun media sosial:;Putra Presiden Jokowi, Gibran Rakabuming Raka, akan membebaskan Palestina dari Israel;Keliru;[Fakta atau Hoaks] Benarkah Gibran Akan Bebaskan Palestina dari Israel?;Sep 11, 2020;Gibran Rakabuming Raka;Israel;Joko Widodo
Claim by Blog Operainf:;Wakil Presiden Ma'ruf Amin kaget duit PT Asuransi Jiwasraya masuk ke dana kampanyenya dengan Presiden Jokowi;Keliru;[Fakta atau Hoaks] Benarkah Ma'ruf Amin Kaget Duit Jiwasraya Masuk ke Dana Kampanyenya dengan Jokowi?;Jan 14, 2020;Ma'ruf Amin;Jiwasraya;Joko Widodo
Claim by Gambar tangkapan layar beredar di Facebook:;"Tangkapan layar situs Tempo dengan berita berjudul ""Jokowi: Korban Meninggal itu Sudah Takdir Jangan di Perpanjang Lagi""";Keliru;[Fakta atau Hoaks] Benarkah Tempo Memuat Pernyataan Jokowi Bahwa Korban Meninggal Adalah Takdir?;May 7, 2019;Joko Widodo;Tempo;Korban
